LON,LAT,,,,,,,,
-120.7065920000,35.1738743900,,,,,,,,
-120.7114290000,35.1752273200,,,,,,,,
-120.7141850000,35.1759980000,,,,,,,,
-120.7188410000,35.1765727100,,,,,,,,
-120.7215950000,35.1769125500,,,,,,,,
-120.7342310000,35.1784720000,,,,,,,,
-120.7343040000,35.1784686200,,,,,,,,
-120.7345300000,35.1784581600,,,,,,,,
-120.7373240000,35.1783289200,,,,,,,,
-120.7394300000,35.1782315300,,,,,,,,
-120.7405180000,35.1781812300,,,,,,,,
-120.7411340000,35.1781527200,,,,,,,,
-120.7431950000,35.1780574100,,,,,,,,
-120.7480580000,35.1778325300,,,,,,,,
-120.7488700000,35.1777950000,,,,,,,,
-120.7489970000,35.1777286000,,,,,,,,
-120.7510210000,35.1766768200,,,,,,,,
-120.7548230000,35.1747010000,,,,,,,,
-120.7568620000,35.1692080000,,,,,,,,
-120.7564780000,35.1648879200,,,,,,,,
-120.7561800000,35.1615228900,,,,,,,,
-120.7560860000,35.1604590000,,,,,,,,
-120.7562940000,35.1604235500,,,,,,,,
-120.7598630000,35.1598169200,,,,,,,,
-120.7601900000,35.1597612300,,,,,,,,
-120.7603780000,35.1597293400,,,,,,,,
-120.7604920000,35.1597100000,,,,,,,,
-120.7606580000,35.1597925000,,,,,,,,
-120.7733680000,35.1661020700,,,,,,,,
-120.7756360000,35.1672282600,,,,,,,,
-120.7789980000,35.1688970000,,,,,,,,
-120.7790540000,35.1689663700,,,,,,,,
-120.7791760000,35.1691185900,,,,,,,,
-120.7798330000,35.1699315500,,,,,,,,
-120.7811780000,35.1715981700,,,,,,,,
-120.7826150000,35.1733790000,,,,,,,,
-120.7855750000,35.1770455100,,,,,,,,
-120.7860760000,35.1776660000,,,,,,,,
-120.7861140000,35.1776808300,,,,,,,,
-120.7868230000,35.1779506700,,,,,,,,
-120.7885620000,35.1786130100,,,,,,,,
-120.7900330000,35.1791736300,,,,,,,,
-120.8052190000,35.1849582600,,,,,,,,
-120.8052220000,35.1849596600,,,,,,,,
-120.8052580000,35.1849730000,,,,,,,,
-120.8060290000,35.1853354100,,,,,,,,
-120.8082480000,35.1863777100,,,,,,,,
-120.8123170000,35.1882894100,,,,,,,,
